"names.TeamColors.","TeamColors"
"FC Liverpool","#D7383A"
"Bournemouth","#BD0F13"
"Manchester Utd.","#DC4812"
"Tottenham","#3F4773"
"Wolverhampton","#C2861B"
"FC Everton","#004391"
"FC Southampton","#A8181D"
"Burnley FC","#89D2F5"
"Newcastle Utd.","#444343"
"FC Fulham","#737373"
"FC Arsenal","#DE151D"
"Brighton","#0053A5"
"Cardiff","#005CA9"
"Huddersfield","#1568B5"
"West Ham Utd.","#7D2C3B"
"Chelsea","#001489"
"Crystal Palace","#195DA3"
"Leicester City","#003090"
"Manchester City","#88BBFF"
"Watford","#FBEE24"
"Esp. Barcelona","#007FBE"
"SD Huesca","#251F4E"
"Atletico Madrid","#B23526"
"FC Sevilla","#CB0F20"
"Real Valladolid","#915EA1"
"Athletic","#E31818"
"Real Sociedad","#143C8B"
"Girona FC","#CD2534"
"FC Valencia","#000000"
"CD Leganes","#0957C3"
"Alaves","#0080FF"
"FC Barcelone","#004996"
"Celta Vigo","#8AC3EE"
"Real Betis","#00964A"
"FC Getafe","#175DA2"
"Rayo Vallecano","#FF0D00"
"SD Eibar","#004083"
"Villarreal CF","#FFE667"
"UD Levante","#005CA5"
"Real Madrid","#768EB4"
"SPAL","#00A3DD"
"AS Roma","#970A2C"
"AC Milan","#AC0000"
"Torino","#800000"
"Fiorentina","#4F3E90"
"Sampdoria","#1E359D"
"Sassuolo","#00A650"
"Chievo Verona","#FFDE15"
"Frosinone","#FFDF00"
"Atalanta","#295BAF"
"Juventus Turin","#000000"
"Udinese","#808080"
"Lazio Rom","#88BBFF"
"Cagliari","#082242"
"FC Bologna","#114FA2"
"Genoa","#00295B"
"Parma","#FFD300"
"Napoli","#1E90FF"
"Inter","#0059A2"
"FC Empoli","#00579C"
"1.FC Nurnberg","#AD1732"
"VfB Stuttgart","#E41D12"
"Werder Bremen","#008F62"
"Hannover 96","#179D33"
"RB Leipzig","#DF0B46"
"Bor. Dortmund","#FDE100"
"TSG Hoffenheim","#00559E"
"F. Dusseldorf","#DA251C"
"E. Frankfurt","#CC0000"
"FC Schalke 04","#0060A9"
"Bay. Leverkusen","#DD0000"
"SC Fribourg","#000000"
"Bor. M'gladbach","#000000"
"VfL Wolfsburg","#00C000"
"1.FSV Mainz 05","#FF0000"
"Hertha BSC","#063176"
"Bayern Munchen","#ED1248"
"FC Augsburg","#BF3030"
"Marseille","#0099ff"
"FC Nantes","#cccc00"
"Montpellier","#ff9900"
"LOSC Lille","#cc0000"
"Saint-Etienne","#006600"
"OGC Nice","#cc0000"
"SCO Angers","#1a1a1a"
"Olympique Lyon","#000066"
"G. Bordeaux","#000066"
"Paris SG","#000066"
"Toulouse","#990099"
"Monaco","#cc0000"
"Dijon","#cc0000"
"Stade Rennais","#cc0000"
"Guingamp","#cc0000"
"Reims","#800000"
"Nimes Olympique","#cc0000"
"SC Amiens","#999999"
"R. Strasbourg","#3333ff"
"SM Caen","#000099"
"FC Porto","#00528B"
"Braga","#D62B00"
"Sporting CP","#008863"
"Vitoria Setubal","#008837"
"Boavista","#000000"
"Feirense","#0076C0"
"Benfica","#FF0000"
"Maritimo","#035232"
"Belenenses SAD","#1C5FA8"
"Vit. Guimaraes","#000000"
"Tondela","#0E5E20"
"Santa Clara","#CF2428"
"Nacional","#EFC400"
"Moreirense","#057046"
"Rio Ave FC","#009133"
"Portimonense","#000000"
"Desportivo Aves","#FF0000"
"Chaves","#0E3193"
"NAC Breda","#000000"
"AZ Alkmaar","#DB0021"
"Ajax","#E2001A"
"Feyenoord","#F00000"
"Fortuna Sittard","#FFDD00"
"PSV Eindhoven","#ED1C24"
"Willem II","#293D83"
"Heerenveen","#0070B9"
"FC Utrecht","#194990"
"FC Emmen","#E43B3B"
"ADO Den Haag","#FFE300"
"Excelsior","#E30512"
"Heracles Almelo","#040404"
"VVV-Venlo","#FFE801"
"De Graafschap","#00A1E4"
"PEC Zwolle","#55BCEB"
"FC Groningen","#009966"
"Vitesse","#FFD503"
"Aston Villa","#94BEE6"
"QPR","#0055A5"
"Stoke City","#E03A3E"
"West Brom","#162D66"
"Sheffield United","#EE2227"
"Nottm Forest","#E53233"
"Derby County","#bfbfbf"
"Middlesbrough","#942923"
"Ipswich Town","#3A64A3"
"Reading","#005AA1"
"Leeds United","#F2CC4B"
"Wigan","#1D59AF"
"Bristol City","#DD0000"
"Swansea City","#000000"
"Rotherham United","#E21D25"
"Preston NE","#000056"
"Millwall","#00367A"
"Blackburn Rovers","#4169E1"
"Bolton","#0D426C"
"Hull City","#F5A12D"
"Birmingham City","#103BCE"
"Brentford","#C20000"
"Sheff Wed","#4786C2"
"Norwich City","#FFF200"
"Aston Villa","#94BEE6"
"Queens Park Rangers","#0055A5"
"Stoke City","#E03A3E"
"West Bromwich Albion","#162D66"
"Sheffield Utd.","#EE2227"
"Nottingham Forest","#E53233"
"Derby","#bfbfbf"
"Middlesbrough","#942923"
"Ipswich","#3A64A3"
"Reading","#005AA1"
"Leeds","#F2CC4B"
"Wigan Athletic","#1D59AF"
"Bristol City","#DD0000"
"Swansea","#000000"
"Rotherham","#E21D25"
"Preston North End","#000056"
"FC Millwall","#00367A"
"Blackburn","#4169E1"
"Bolton Wanderers","#0D426C"
"Hull City","#F5A12D"
"Birmingham","#103BCE"
"Brentford","#C20000"
"Sheffield Wednesday","#4786C2"
"Norwich","#FFF200"
"Y. Malatyaspor","#F4E500"
"Galatasaray","#AA002F"
"Kayserispor","#8B0000"
"Basaksehir","#FF6600"
"Kasimpasa","#1850A5"
"Konyaspor","#0F6917"
"Besiktas","#1E191A"
"Fenerbahce","#FFFF00"
"Sivasspor","#E21323"
"BB Erzurumspor","#002C6A"
"C. Rizespor","#0096DA"
"Akhisarspor","#007711"
"Bursaspor","#048741"
"Alanyaspor","#FC5906"
"Goztepe","#FFFF00"
"Ankaragucu","#2E3092"
"Antalyaspor","#FF0000"
"Trabzonspor","#A51731"
"Zenit S-Pb","#00A5F1"
"Rubin Kazan","#008100"
"Anzhi","#FEE400"
"Rostov","#FFED00"
"Spartak Moscow","#E22A46"
"CSKA Moscow","#FF0000"
"Loko Moscow","#D90817"
"Dinamo Moscow","#3859A7"
"KS Samara","#3EA0BD"
"Ufa","#C1191F"
"Arsenal Tula","#F8212A"
"Krasnodar","#007229"
"Akhmat Grozny","#006B5F"
"Orenburg","#1E53A1"
"Ural","#F58220"
"Enisey","#FC1326"
"Genk","#007DC3"
"Club Brugge","#0078BD"
"Anderlecht","#4A1F85"
"Standard Liege","#FF1100"
"KV Oostende","#E40714"
"Antwerp","#990000"
"Waasland-Beveren","#FFD232"
"Zulte-Waregem","#004040"
"Cercle Brugge","#009E45"
"Sint-Truiden","#F5D128"
"Gent","#0067D6"
"Royal Excel Mouscron","#E42F17"
"Sporting Charleroi","#000000"
"AS Eupen","#000000"
"Kortrijk","#DD0000"
"Lokeren","#000000"
"Rangers","#144390"
"Aberdeen","#E30013"
"Celtic","#008847"
"Hibernian","#007538"
"Kilmarnock","#172E67"
"Hearts","#A0122E"
"St. Mirren","#101010"
"St. Johnstone","#0A0AFF"
"Motherwell","#FBBC29"
"Hamilton Academical","#CD353D"
"Livingston","#FFCC00"
"Dundee","#1A315A"
"Valenciennes FC","#FF0000"
"AS Beziers","#FF0000"
"Lens","#FF0000"
"FC Niort","#0063A4"
"Grenoble","#005CA4"
"FC Metz","#670406"
"Troyes","#006EB4"
"G. Ajaccio","#D23112"
"Paris FC","#0D1C44"
"LB Chateauroux","#FF0000"
"Clermont Foot","#AC1136"
"AC Le Havre","#8AC3E6"
"FC Lorient","#F5820B"
"Red Star FC","#005637"
"AC Ajaccio","#FF0000"
"Stade Brest 29","#FF0000"
"FC Sochaux","#FEDF0D"
"AJ Auxerre","#3E88C1"
"AS Nancy","#FF0000"
"US Orleans","#E4BC0F"
